Batch,Order,Rep,Population,GH_ID,ILL_No,Cystine,Aspartate,Glutamate,Serine,Histidine,Glycine,Threonine,Methionine,Arginine,Alanine,Valine,Phenylalanine,Isoleucine,Leucine,Lysine,Hydroxyproline,Proline,TotalAA,Cystine_to_TotalAA,Aspartate_to_TotalAA,Glutamate_to_TotalAA,Serine_to_TotalAA,Histidine_to_TotalAA,Glycine_to_TotalAA,Threonine_to_TotalAA,Methionine_to_TotalAA,Arginine_to_TotalAA,Alanine_to_TotalAA,Valine_to_TotalAA,Phenylalanine_to_TotalAA,Isoleucine_to_TotalAA,Leucine_to_TotalAA,Lysine_to_TotalAA,Hydroxyproline_to_TotalAA,Proline_to_TotalAA
1,21,1,HT,H41R1,ILL1785,0.15012283,4.101608368,4.964617902,1.533925588,0.759957507,1.447164918,1.176850629,0.213535769,3.076444036,1.386073347,0.230676505,1.55670328,1.376691715,2.512221916,1.378327478,6.653518156,3.386496597,35.90493654,0.418111949,11.42352212,13.82711788,4.272185765,2.116582231,4.030545817,3.277684749,0.594725376,8.568303783,3.860397707,0.642464595,4.335624652,3.83426862,6.996870509,3.838824437,18.5309286,9.431841199
1,22,4,GM,G48R2,ILL4886,0.231065041,3.695262907,4.271425996,1.290162431,0.681212595,1.260592545,1.070112497,0.221587924,2.908497957,1.291161279,0.215763657,1.365347689,1.240644896,2.219600732,1.282772264,3.787231619,3.147656116,30.18009815,0.765620575,12.24403873,14.15312162,4.274878182,2.257158316,4.176900085,3.545755524,0.734218699,9.637138829,4.278187807,0.714920329,4.524000162,4.11080471,7.354517939,4.250391294,12.54877171,10.42957548
1,23,4,GM,G41R2,ILL4671,0.194254408,3.968965797,4.852780259,1.483717461,0.761237162,1.39615179,1.15023804,0.210140121,3.027659388,1.353410485,0.228806795,1.543562752,1.369055088,2.503036322,1.425933838,5.586432661,3.545301249,34.60068362,0.561417833,11.47077278,14.02509937,4.288116031,2.200063936,4.035041057,3.324321718,0.607329391,8.750287774,3.911513715,0.66127825,4.461075883,3.956728437,7.234066095,4.12111464,16.14544014,10.24633296
1,24,4,GM,G33R2,ILL2297,0.168172471,2.394547227,2.777052184,0.854503327,0.448624972,0.805822694,0.709941572,0.121424912,1.672714925,0.837821386,0.14436877,0.941263093,0.840044536,1.498399296,1.062098161,1.970219182,1.474183668,18.72120238,0.89829952,12.79056323,14.83372771,4.564361358,2.396347003,4.304331943,3.792179358,0.648595691,8.934869093,4.475254149,0.771151164,5.027791881,4.487129187,8.003755666,5.673236898,10.52399917,7.874406987
1,25,4,GM,G51R2,ILL5028,0.256770647,3.137125341,3.543915805,1.116423708,0.601218261,1.040459487,0.924749764,0.181940135,2.281571462,1.072744149,0.18440625,1.207025962,1.088207852,1.943328866,1.339248104,1.973269714,2.065364844,23.95777035,1.071763537,13.09439608,14.792344,4.659964979,2.509491711,4.342889475,3.859915804,0.759420148,9.523304667,4.477646013,0.769713739,5.038139795,4.542191682,8.111476308,5.590036487,8.236449741,8.620855838
1,26,3,GM,G21R1,ILL890,0.242192074,3.592392058,4.256538366,1.272925076,0.65407483,1.146167846,1.00900933,0.1991071,3.017006395,1.212086112,0.205586116,1.324529077,1.200889179,2.190154392,1.101115724,1.905823341,2.33200555,26.86160257,0.901629281,13.37370713,15.84618176,4.738827748,2.434980669,4.266937697,3.756325884,0.741233139,11.2316694,4.5123373,0.76535313,4.930938405,4.470653514,8.153476274,4.099218285,7.094972596,8.68155779
1,27,4,GM,G62R2,ILL5639,0.203298558,2.89582544,3.405116115,1.121804781,0.467399149,1.003619024,0.832342752,0.173130908,2.209236531,1.065229966,0.184663498,1.147332425,1.085127812,1.909055186,0.964651374,2.86619609,2.300083669,23.83411328,0.852973029,12.14991893,14.28673295,4.70671918,1.961051135,4.210851112,3.492232928,0.726399619,9.269220572,4.469350102,0.774786525,4.813824671,4.552834835,8.00975964,4.047355833,12.02560404,9.650384901
1,28,4,GM,G28R2,ILL1890,0.23201338,3.498420823,4.306280315,1.347146537,0.665251726,1.167670032,1.032878144,0.20034962,2.475881417,1.207814473,0.204670181,1.375259715,1.23496233,2.204805977,1.160551902,3.544266057,2.727924003,28.58614663,0.811628734,12.23816861,15.06422104,4.712585275,2.327182235,4.084740931,3.613212222,0.700862633,8.661123337,4.225174133,0.715976811,4.810930738,4.320142711,7.712847784,4.059840303,12.39854431,9.542818198
1,29,2,HT,H88R2,ILL5553,0.264025218,3.95883666,4.761756201,1.496871644,0.774924224,1.337083517,1.135470924,0.233713389,3.165595177,1.309889057,0.22407194,1.520622161,1.348602921,2.476726032,1.479654076,2.747583694,2.765858218,31.00128505,0.851658948,12.76991148,15.35986716,4.828418052,2.499651942,4.312993848,3.662657603,0.753882907,10.21117406,4.225273419,0.722782748,4.905029448,4.350151675,7.989107638,4.772879813,8.862805814,8.921753448
1,30,4,GM,G38R2,ILL4164,0.256648624,3.688185587,4.36708085,1.374666081,0.695026099,1.176094926,1.068845881,0.217536231,2.649241215,1.249486852,0.214374844,1.446207529,1.256192543,2.302839642,1.238831255,2.241185784,2.592186976,28.03463092,0.915469958,13.15582002,15.57745084,4.903457031,2.479169785,4.195150382,3.812591234,0.775955395,9.449887971,4.456940616,0.764678674,5.15864658,4.480859929,8.214267734,4.418931922,7.994347386,9.246374541
